"ID","Naive B cells","Memory B cells","Plasma cells","CD8 T cells","Naive CD4 T cells","Resting CD4 memory T cells","Activated CD4 memory T cells","Follicular helper T cells","Regulatory T cells","Gamma delta T cells","Resting NK cells","Activated NK cells","Monocytes","M0 Macrophages","M1 Macrophages","M2 Macrophages","Resting dendritic cells","Activated dendritic cells","Resting mast cells","Activated mast cells","Eosinophils","Neutrophils"
"SEQC_NB001",0.382718774072566,0.0335461470649652,0,0.0998418783203133,0.103571890690917,0.0894750568460705,0,0.0251780788450971,0.0344553234339984,0,0.0596533889561715,0,0.0179877313448138,0.0446919222764844,0.0254448933300021,0.0834349148186004,0,0,0,0,0,0
"SEQC_NB002",0.150384266850138,0.0561435950539027,0.0228437344024032,0.133203440103909,0.0304119804384002,0.053589009657524,0,0.0971933106583986,0.0833542089621877,0,0.0177240926217613,0.000528528699265303,0.0394002682291349,0.0630438012636454,0.0487895923485473,0.203044967883774,0,0,0.000345202827009121,0,0,0
"SEQC_NB003",0,0.0150889034944092,0.00309437116162176,0.0105426986364716,0,0.272654646634218,0,0.188708282660606,0,0,0.0140235933050531,0.00235870228218537,0.104053975242545,0.0311485037577493,0.0196797254620214,0.248524800095413,0.00617365417424228,0,0.0839481430934639,0,0,0
"SEQC_NB004",0.127471854024119,0,0.00176312403723484,0.134335754216933,0,0.088585303464274,0,0,0.0661243741253971,0,0.0203641317516755,0.0147692741142517,0.0551869882466582,0,0.0326355535387451,0.434027912738041,0,0,0.0247357297426708,0,0,0
"SEQC_NB005",0.0241539006848853,0,0,0.0993321331002845,0,0.0976008229236717,0,0.0784278631845161,0.0970925421805705,0,0.0550945453468736,0.023438631790799,0.0500279423048447,0.114037267629942,0.0154716046665246,0.328429525357284,0,0,0.0168932208298041,0,0,0
"SEQC_NB006",0.0134445635502195,0.00570685324441012,0,0,0,0.265143022339375,0,0.0891842780995621,0.0759072623655483,0,0.0567178655306509,0,0,0.381866444077171,0.0167024369936992,0.0949452078283547,0.000138956923150871,0,0,0.000243109047858941,0,0
"SEQC_NB007",0.093828840853437,0,0,0.233410865761006,0,0.125847554210906,0,0.164615117633106,0.0267273926109273,0,0.00328114322391015,0,0.0305494743269068,0.0466688410771642,0.0731825230492035,0.201888247253434,0,0,0,0,0,0
"SEQC_NB008",0.142476475807094,0,0.00543277975957541,0.102995914274118,0,0,0,0.0532739273061762,0.0928023231809794,0,0.0191806902343624,0.0187938107132757,0.0260966429294773,0.244655087092226,0,0.270326423205888,0,0,0,0.0162223638801435,0,0.00774356161668426
"SEQC_NB009",0.0103576413541154,0.0151287003356566,0.0185992538935087,0.123023095832593,0,0.0558299832411538,0,0.0672801280839256,0.0762186892497168,0,0.0890091538368557,0,0.0374464768121423,0.147062555273187,0.00846043304429031,0.339686137556495,0,0,0.0118977514863598,0,0,0
"SEQC_NB010",0,0.0130906692369138,0.0111575845097282,0.26540766626253,0,0.140943977033792,0,0.240936540756984,0,0,0,0.0508310834349275,0.0507800628790243,0.157873608561394,0.00343350072561766,0.0442359328370154,0,0,0.0213093737620724,0,0,0
"SEQC_NB011",0.0458643683765175,0,0,0.0738845332650604,0,0.198429906686041,0,0.00620349190440218,0.00154387179550128,0,0.0499558925547283,0,0,0.408730668449533,0.03219713150957,0.143789938657657,0,0,0.0351746086664294,0,0.00422558813456024,0
"SEQC_NB012",0.0252288261425235,0,0,0,0,0.319327605951736,0,0.048354124179106,0.0855035488336848,0,0.0635829128471665,0,0.0486604198798204,0.250209273630489,0.0217067455755018,0.0939320254671187,0.0265173860649753,0,0,0.0169771314278786,0,0
"SEQC_NB013",0.0511923764588608,0,0.00170078383270786,0.0652180133820393,0,0.2496831349342,0,0.0619608202824838,0.0495161842076083,0,0,0.0180666585534181,0.0968499660053819,0,0.0303050046808552,0.360883358988703,0,0,0.00589719383643615,0,0,0.0087265048373059
"SEQC_NB014",0.0353398089288186,0,0,0,0,0.206176879307248,0,0.0741635375752993,0.0563788324119376,0,0.0329763714575032,0.0201464061479515,0.0713314984672242,0.059722536229785,0.0407971290532117,0.400562831955817,0,0,0,0.00240416846520465,0,0
"SEQC_NB015",0.00053763271683911,0,0,0.156811816529722,0,0.189298056718706,0,0,0.0921656606754887,0,0,0.035350061933875,0.0470611000136171,0.0863949072296277,0.0227552181061223,0.342272525773256,0,0.0273530203027456,0,0,0,0
"SEQC_NB016",0.0528226196665185,0,0.00374095953176545,0.0883626277114617,0,0.404163606337007,0,0.101034683081142,0.0442778553748767,0,0.0211177720985098,0.0319943807421808,0.114824876231138,0,0.02356227069485,0.0862837038940127,0,0,0.0162693245399946,0,0.011545320096542,0
"SEQC_NB017",0.0448286909931853,0.0540698282351478,0,0.0828013584998659,0.00238983869229547,0.118775167184396,0,0.0692132046120954,0.0274903768339633,0,0.0563423800900054,0.0179843454738298,0.0675656526461121,0.301648859969924,0.0344340229925814,0.114852905891718,0.0020565835633837,0,0.00554678432149699,0,0,0
"SEQC_NB018",0.00643522289545257,0.00580537598822835,0,0,0,0.381848213000225,0,0.0553164266351074,0.0309846236827568,0,0.0685260388883501,0.019550357109152,0.0521833315259531,0.243724808377478,0.0155800625136063,0.05029640728826,0.0175556097280095,0,0.0187248899451309,0,0.0334686324222902,0
"SEQC_NB019",0.0328526898350738,0.00659130054717083,0,0.0296136257250775,0,0.271132842768367,0,0.0433838004128039,0.0627529551547303,0,0.0281413476014207,0.00183192240109784,0,0.335255532961656,0.0078207315368926,0.142792953379662,0,0,0.0378302976760479,0,0,0
